areaName,Borough,areaType,2010 median rent for 1B,2011 median rent for 1B,2012 median rent for 1B,2013 median rent for 1B,2014 median rent for 1B,2015 median rent for 1B,2016 median rent for 1B,2017 median rent for 1B,2018 median rent for 1B,2019 median rent for 1B,2020 median rent for 1B,2021 median rent for 1B,2022 median rent for 1B,2023 estimated median rent for 1B  (using 8 months in 2023)
Gerritsen Beach,Brooklyn,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Glen Oaks,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Glendale,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1700,#NUM!,1975,2012.5
Gowanus,Brooklyn,neighborhood,#NUM!,2489.5,2950,2462.5,2500,2549,2850,2674,2693,2881.5,2600,2399.5,3357.5,4015.5
Gramercy Park,Manhattan,neighborhood,3237.5,3250,3300,3350,3525,3525,3449,3380,3551.5,3650,3537.5,3850,4174,4387.5
Gravesend,Brooklyn,neighborhood,#NUM!,1220,1231.5,1350,1381.5,1425,1537,1637.5,1637.5,1672.5,1644,1662.5,1775,1800
Greenpoint,Brooklyn,neighborhood,2100,1950,2225,2200,2400,2275,2497.5,2375,2400,2591.5,2700,2675,3575,3971
Greenwich Village,Manhattan,neighborhood,3175,3400,3524,3572.5,3800,3995,3906.5,3737.5,3697.5,3995,3647.5,3949,4336.5,4770
Greenwood,Brooklyn,neighborhood,#NUM!,1395,#NUM!,1800,1699,1906.5,1987,2000,1993.5,1870,1900,1925,2725,2550
Hamilton Heights,Manhattan,neighborhood,1499,1649,1672.5,1600,1700,1747.5,1848.5,1949,1897.5,1950,1936.5,1937.5,2075,2372.5
Highbridge,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1350,#NUM!,#NUM!,#NUM!,1697.5,1690,1760,1897.5
Hillcrest,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Hollis,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Howard Beach,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Hunts Point,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Inwood,Manhattan,neighborhood,1287,1375,1380,1406.5,1475,1575,1667.5,1632.5,1735,1767.5,1800,1789,1906,1975
Jackson Heights,Queens,neighborhood,#NUM!,1329,1448,1480,1631.5,1700,1718,1775,1768.5,1822,1781.5,1831.5,1987,2130
Jamaica,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1817,1829,2013,2185,2155.5,2285,2482.5,2657.5
Jamaica Estates,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1612,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1825,2037.5
Jamaica Hills,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1895
Kensington,Brooklyn,neighborhood,1638,1500,1425,1549,1550,1656,1675,1696,1750,1803.5,1775,1767.5,2000,2219
Kew Gardens,Queens,neighborhood,#NUM!,#NUM!,1600,1450,1550,1687.5,1775,1784,1747,1750,1788,1800,1974,2035
Kew Gardens Hills,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1800,1700,1787.5,1719,1712.5,1737.5,1762.5,1999,2450
Kingsbridge,Bronx,neighborhood,#NUM!,#NUM!,1761.5,1163,1375,1374,1450,1500,1517.5,1633.5,1680,1650,1719,1947.5
Laconia,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Laurelton,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Little Italy,Manhattan,neighborhood,2435.5,2325,2250,2875,2775,2400,2375,2451.5,2422.5,2475,2399.5,2400,3335,3390
Little Neck,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Long Island City,Queens,neighborhood,2616.5,2756.5,2817.5,2732.5,2916.5,2965,2911,2900,2957,3145,3083,3299.5,3645,3900
Longwood,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Lower East Side,Manhattan,neighborhood,2075,2199,2395,2395,2455,2574,2597.5,2500,2600,2974,2850,2846.5,3348.5,3710
Manhattan,Manhattan,borough,2775,2975,3000,3087.5,3137.5,3222.5,3222.5,3137,3175,3320,3081,3100,3825,4000
Manhattan Beach,Brooklyn,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Marble Hill,Manhattan,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Marine Park,Brooklyn,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Maspeth,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1475,1562,#NUM!,1637.5,#NUM!,1600,1625,1900,1974.5
Melrose,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Middle Village,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1625,1695,#NUM!,#NUM!
Midtown,Manhattan,neighborhood,3500,3697.5,3700,3649,3747.5,3750,3688.5,3588.5,3600,3713.5,3392.5,3700,4595,4638.5
Midtown East,Manhattan,neighborhood,2825,3035,3100,3175,3230,3297.5,3297.5,3247.5,3301,3433,3147.5,3342.5,3936.5,4175
Midtown South,Manhattan,neighborhood,3250,3300,3500,3500,3710,3913.5,4007.5,3857.5,3807.5,4151,3637.5,4090,4945,4994.5
Midtown West,Manhattan,neighborhood,2864.5,3170,3275,3275,3350,3318,3266,3291.5,3414.5,3512.5,3188,3484.5,4192,4292.5
